"Tiempo (s) Serie Nº 4";"Aceleración - y (m/s²) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Aceleración - y (m/s²) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5";"Tiempo (s) Serie Nº 6";"Aceleración - y (m/s²) Serie Nº 6";"Vector velocidad (m/s) Serie Nº 6";"Tiempo (s) Serie Nº 7";"Aceleración - y (m/s²) Serie Nº 7";"Vector velocidad (m/s) Serie Nº 7";"Tiempo (s) Serie Nº 8";"Aceleración - y (m/s²) Serie Nº 8";"Vector velocidad (m/s) Serie Nº 8";"Tiempo (s) Serie Nº 9";"Aceleración - y (m/s²) Serie Nº 9";"Vector velocidad (m/s) Serie Nº 9";"Tiempo (s) Serie Nº 10";"Aceleración - y (m/s²) Serie Nº 10";"Vector velocidad (m/s) Serie Nº 10";"Tiempo (s) Serie Nº 12";"Aceleración - y (m/s²) Serie Nº 12";"Vector velocidad (m/s) Serie Nº 12";"Tiempo (s) Serie Nº 13";"Aceleración - y (m/s²) Serie Nº 13";"Vector velocidad (m/s) Serie Nº 13";"Tiempo (s) Serie Nº 14";"Aceleración - y (m/s²) Serie Nº 14";"Vector velocidad (m/s) Serie Nº 14"
2,700;9,8;-0,416;2,700;9,9;-0,762;2,700;8,3;-0,066;2,700;9,4;0,687;2,700;9,3;0,324;2,700;9,4;0,335;2,700;10,3;0,058;2,700;9,7;0,217;2,700;9,5;-0,455;2,700;9,3;0,434
2,750;10,0;-0,381;2,750;10,1;-0,749;2,750;11,0;-0,635;2,750;9,3;0,665;2,750;9,5;0,443;2,750;11,1;0,102;2,750;9,1;0,201;2,750;9,7;0,251;2,750;9,7;-0,352;2,750;10,2;0,196
2,800;9,8;-0,346;2,800;9,8;-0,684;2,800;9,8;-0,774;2,800;9,8;0,356;2,800;10,1;0,552;2,800;2,0;-0,108;2,800;9,4;0,345;2,800;9,8;0,287;2,800;10,0;-0,246;2,800;7,4;-0,121
2,850;9,7;-0,312;2,850;9,9;-0,616;2,850;9,9;-0,676;2,850;10,7;-0,103;2,850;9,7;0,462;2,850;5,7;-0,137;2,850;9,5;0,441;2,850;9,7;0,324;2,850;9,6;-0,137;2,850;5,4;-0,295
2,900;9,9;-0,278;2,900;9,5;-0,545;2,900;9,6;-0,570;2,900;5,8;-0,418;2,900;10,3;0,145;2,900;10,1;-0,016;2,900;9,3;0,316;2,900;9,7;0,362;2,900;9,6;-0,038;2,900;6,7;-0,247
2,950;9,8;-0,245;2,950;9,5;-0,472;2,950;9,9;-0,457;2,950;5,5;-0,446;2,950;6,4;-0,197;2,950;9,1;0,086;2,950;11,8;0,025;2,950;9,8;0,402;2,950;9,6;0,043;2,950;11,5;-0,116
3,000;9,8;-0,211;3,000;9,8;-0,398;3,000;9,7;-0,342;3,000;16,6;-0,331;3,000;5,5;-0,336;3,000;9,4;0,131;3,000;5,7;-0,219;3,000;9,8;0,441;3,000;9,6;0,113;3,000;9,0;0,014
3,050;9,8;-0,178;3,050;9,5;-0,324;3,050;9,5;-0,230;3,050;11,4;-0,238;3,050;7,7;-0,248;3,050;9,4;0,109;3,050;5,3;-0,236;3,050;9,8;0,460;3,050;9,6;0,182;3,050;9,4;0,137
3,100;9,8;-0,143;3,100;9,9;-0,251;3,100;9,7;-0,124;3,100;9,6;-0,141;3,100;12,5;-0,124;3,100;9,1;0,064;3,100;7,2;-0,078;3,100;9,8;0,334;3,100;9,5;0,256;3,100;8,4;0,248
3,150;9,8;-0,108;3,150;9,8;-0,174;3,150;9,7;-0,030;3,150;9,6;-0,032;3,150;8,5;-0,004;3,150;9,4;0,029;3,150;13,6;0,070;3,150;9,1;0,049;3,150;9,7;0,333;3,150;9,4;0,300
3,200;9,8;-0,072;3,200;9,7;-0,096;3,200;9,6;0,044;3,200;9,5;0,076;3,200;9,5;0,117;3,200;8,7;0,020;3,200;9,3;0,197;3,200;9,7;-0,250;3,200;10,0;0,411;3,200;9,5;0,236
3,250;9,8;-0,035;3,250;9,8;-0,030;3,250;9,7;0,101;3,250;9,4;0,178;3,250;7,9;0,234;3,250;11,1;0,013;3,250;9,2;0,253;3,250;9,8;-0,399;3,250;9,3;0,489;3,250;7,8;0,114
3,300;9,8;0,000;3,300;9,7;0,015;3,300;9,6;0,151;3,300;9,7;0,276;3,300;11,1;0,344;3,300;10,4;-0,002;3,300;9,5;0,200;3,300;9,7;-0,380;3,300;9,5;0,524;3,300;9,0;0,023
3,350;9,8;0,034;3,350;9,7;0,045;3,350;9,7;0,198;3,350;9,5;0,370;3,350;9,5;0,310;3,350;9,5;0,000;3,350;8,5;0,101;3,350;9,8;-0,319;3,350;9,6;0,350;3,350;9,4;0,007
